,x,y,z,v
13,122,30.96911677,-27.0,1.72526272291
14,122,31.0590488292,-27.0,1.37412684946
15,122,31.1489808884,-27.0,0.980527213316
16,122,31.2389129476,-27.0,0.600904551232
17,122,31.3288450069,-27.0,0.291699599655
18,122,31.4187770661,-27.0,0.0856548793309
19,122,31.5,-27.0,-0.043466264935
0,122,29.8,-28.0,1.59211502844
1,122,29.8899320592,-28.0,1.63664943493
2,122,29.9798641185,-28.0,1.68485770257
3,122,30.0697961777,-28.0,1.73396293459
4,122,30.1597282369,-28.0,1.78291383136
5,122,30.2496602961,-28.0,1.83065909321
6,122,30.3395923554,-28.0,1.8761474205
7,122,30.4295244146,-28.0,1.93813818123
8,122,30.5194564738,-28.0,2.04163461677
9,122,30.609388533,-28.0,2.14642062831
10,122,30.6993205923,-28.0,2.20980249851
11,122,30.7892526515,-28.0,2.18908650984
12,122,30.8791847107,-28.0,2.04006028985
13,122,30.96911677,-28.0,1.72385877338
14,122,31.0590488292,-28.0,1.29040492371
15,122,31.1489808884,-28.0,0.80913131828
16,122,31.2389129476,-28.0,0.349470534771
17,122,31.3288450069,-28.0,-0.0191448494551
18,122,31.4187770661,-28.0,-0.257056649038
19,122,31.5,-28.0,-0.399113709765
0,122,29.8,-29.0,1.48218798502
1,122,29.8899320592,-29.0,1.54738285896
2,122,29.9798641185,-29.0,1.62450069948
3,122,30.0697961777,-29.0,1.70988987616
4,122,30.1597282369,-29.0,1.79540604195
5,122,30.2496602961,-29.0,1.87290484969
6,122,30.3395923554,-29.0,1.9342419523
7,122,30.4295244146,-29.0,1.99449271684
8,122,30.5194564738,-29.0,2.08429348627
9,122,30.609388533,-29.0,2.16547563071
10,122,30.6993205923,-29.0,2.19712574068
11,122,30.7892526515,-29.0,2.1383304066
12,122,30.8791847107,-29.0,1.9459199724
13,122,30.96911677,-29.0,1.5716696506
14,122,31.0590488292,-29.0,1.06887168602
15,122,31.1489808884,-29.0,0.515721546973
16,122,31.2389129476,-29.0,-0.00958529790891
17,122,31.3288450069,-29.0,-0.428853380375
18,122,31.4187770661,-29.0,-0.697443443944
19,122,31.5,-29.0,-0.855048995421
0,122,29.8,-30.0,1.15841154828
1,122,29.8899320592,-30.0,1.24255643131
2,122,29.9798641185,-30.0,1.35792376599
3,122,30.0697961777,-30.0,1.49743188931
4,122,30.1597282369,-30.0,1.63983137188
5,122,30.2496602961,-30.0,1.76387278421
6,122,30.3395923554,-30.0,1.8483066969
7,122,30.4295244146,-30.0,1.89797156996
8,122,30.5194564738,-30.0,1.94961698409
9,122,30.609388533,-30.0,1.97605710019
10,122,30.6993205923,-30.0,1.94730090455
11,122,30.7892526515,-30.0,1.83335738359
12,122,30.8791847107,-30.0,1.60087464036
13,122,30.96911677,-30.0,1.1911000269
